r val absval
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.000799999999999468e-01 -2.761241471493558475e-02 1.147673704962521831e-03
6.001600000000000268e-01 -5.522112618000254297e-02 2.295193489214341406e-03
6.002399999999999958e-01 -8.282611296791335398e-02 3.442558462158431826e-03
6.003199999999999648e-01 -1.104273536318970267e-01 4.589767732387960847e-03
6.003999999999999337e-01 -1.380248267055464162e-01 5.736820407679945472e-03
6.004800000000000137e-01 -1.656185107028937953e-01 6.883715594998392889e-03
6.005599999999999827e-01 -1.932083841182586081e-01 8.030452400487973069e-03
6.006399999999999517e-01 -2.207944254264765926e-01 9.177029929483541959e-03
6.007200000000000317e-01 -2.483766130827857188e-01 1.032344728650539702e-02
6.008000000000000007e-01 -2.759549255227102815e-01 1.146970357525446509e-02
6.008799999999999697e-01 -3.035293411622911885e-01 1.261579789862187287e-02
6.009599999999999387e-01 -3.310998383979331106e-01 1.376172935868258743e-02
6.010400000000000187e-01 -3.586663956064803371e-01 1.490749705669858205e-02
6.011199999999999877e-01 -3.862289911450642044e-01 1.605310009311248023e-02
6.011999999999999567e-01 -4.137876033513323559e-01 1.719853756755709492e-02
6.012799999999999256e-01 -4.413422105432964204e-01 1.834380857884909677e-02
6.013600000000000056e-01 -4.688927910194073401e-01 1.948891222499212969e-02
6.014399999999999746e-01 -4.964393230584033256e-01 2.063384760317052077e-02
6.015199999999999436e-01 -5.239817849195391730e-01 2.177861380975878308e-02
6.016000000000000236e-01 -5.515201548424709665e-01 2.292320994031684170e-02
6.016799999999999926e-01 -5.790544110471420591e-01 2.406763508958527711e-02
6.017599999999999616e-01 -6.065845317340122778e-01 2.521188835149488008e-02
6.018399999999999306e-01 -6.341104950839048238e-01 2.635596881916025397e-02
6.019200000000000106e-01 -6.616322792580824341e-01 2.749987558488300662e-02
6.019999999999999796e-01 -6.891498623980957250e-01 2.864360774014543601e-02
6.020799999999999486e-01 -7.166632226260107874e-01 2.978716437561998789e-02
6.021600000000000286e-01 -7.441723380442961666e-01 3.093054458116456865e-02
6.022399999999999975e-01 -7.716771867357070658e-01 3.207374744581771575e-02
6.023199999999999665e-01 -7.991777467635148291e-01 3.321677205780815961e-02
6.023999999999999355e-01 -8.266739961713550633e-01 3.435961750454847446e-02
6.024800000000000155e-01 -8.541659129833021336e-01 3.550228287263822863e-02
6.025599999999999845e-01 -8.816534752037187284e-01 3.664476724785767359e-02
6.026399999999999535e-01 -9.091366608174830111e-01 3.778706971517722252e-02
6.027199999999999225e-01 -9.366154477898367414e-01 3.892918935875112896e-02
6.028000000000000025e-01 -9.640898140664616589e-01 4.007112526192065094e-02
6.028799999999999715e-01 -9.915597375733274932e-01 4.121287650720775741e-02
6.029599999999999405e-01 -1.019025196216918561e+00 4.235444217632452352e-02
6.030400000000000205e-01 -1.046486167884121965e+00 4.349582135016849538e-02
6.031199999999999894e-01 -1.073942630442112467e+00 4.463701310881788842e-02
6.031999999999999584e-01 -1.101394561738579192e+00 4.577801653154103811e-02
6.032799999999999274e-01 -1.128841939601577193e+00 4.691883069679021051e-02
6.033600000000000074e-01 -1.156284741839598951e+00 4.805945468220457900e-02
6.034399999999999764e-01 -1.183722946241426266e+00 4.919988756460406953e-02
6.035199999999999454e-01 -1.211156530576355861e+00 5.034012841999873505e-02
6.036000000000000254e-01 -1.238585472594086578e+00 5.148017632358407175e-02
6.036799999999999944e-01 -1.266009750024604807e+00 5.262003034973625204e-02
6.037599999999999634e-01 -1.293429340578412301e+00 5.375968957202158227e-02
6.038399999999999324e-01 -1.320844221946374963e+00 5.489915306319025773e-02
6.039200000000000124e-01 -1.348254371799798346e+00 5.603841989517944350e-02
6.039999999999999813e-01 -1.375659767790275767e+00 5.717748913910702252e-02
6.040799999999999503e-01 -1.403060387606398063e+00 5.831635986762859214e-02
6.041600000000000303e-01 -1.430456208929298478e+00 5.945503115308983094e-02
6.042399999999999993e-01 -1.457847209354563356e+00 6.059350206428072705e-02
6.043199999999999683e-01 -1.485233366460382065e+00 6.173177166926822890e-02
6.043999999999999373e-01 -1.512614657807394014e+00 6.286983903538979901e-02
6.044800000000000173e-01 -1.539991060938766143e+00 6.400770322925672384e-02
6.045599999999999863e-01 -1.567362553380039936e+00 6.514536331674769531e-02
6.046399999999999553e-01 -1.594729112639360347e+00 6.628281836301831709e-02
6.047199999999999243e-01 -1.622090716207321925e+00 6.742006743249476242e-02
6.048000000000000043e-01 -1.649447341557047864e+00 6.855710958887702156e-02
