L,order,contrast,L2-u1-T,L2-u1-T-rel,dy-L2-u1-T,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-dy-L2-u1-T,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t
1,3,1.0,0.008335932701671937,0.016671865403343877,0.056028157618498414,0.009714144322536486,0.3803305692806138,0.10082766788208644,0.004306103674011473,0.008612207348022947,1.5372717853716308e-14,0.005070167541254688,0.391142707116328,0.08308538596407784
1,3,1.5,0.018071489971419642,0.06560643085458792,0.13877947775195734,0.02872922089015153,1.6899201672996478,0.4290686442740135,0.01935832894816712,0.07027814926200708,1.2095259090575545e-14,0.031240166294610617,1.8319311500978914,0.4017224598530913
1,3,2.0,0.05144247100917046,132012013103252.72,0.41097302126188756,0.07059229435456525,4.887821284183302,1.3327358061708832,0.055320645718618916,141964210976273.75,6.2190724206253425e-15,0.08494745648488214,5.301673766348167,1.1652874356206875
1,3,2.5,0.09752314626994366,0.36959005890742214,0.7401272698292849,0.15869161908839635,10.207014564722966,3.092338708245144,0.12056794368512058,0.4569244852456524,1.817859125532548e-14,0.16084988689049348,11.719598638894624,2.581358018706408
2,3,1.0,0.0005233999164745773,0.0010467998329491538,0.004821956283422683,0.0006857300159228494,0.04607164584630035,0.011499801389664693,0.0002512166001866608,0.0005024332003733212,3.2730718198068995e-14,0.00025392298241981635,0.049877442066865375,0.01078496183824697
2,3,1.5,0.0013254684536177126,0.004813905745598284,0.010696051367307039,0.0023730442477766724,0.213684679699679,0.05520890186822698,0.0011549522615992536,0.004194616109368324,2.3508593259978514e-14,0.0013245083116937269,0.22724784057778108,0.05339521249971885
2,3,2.0,0.004143860976192024,10634003747401.627,0.03791434761657459,0.00680596021975638,0.6224724494818583,0.17684319378424918,0.0030567179529700414,7844170051405.456,1.2918063853857806e-14,0.005090030243621132,0.5914493556002937,0.15906470859032004
2,3,2.5,0.01672489714261255,0.062466867317153535,0.13901679743105516,0.03025886178861985,1.4583943853091517,0.5221867121235167,0.006275776481276017,0.023439791194240136,2.6741678454639686e-14,0.013364351780001692,1.182313911724378,0.35552964136516285
3,3,1.0,2.382321851744708e-05,4.7646437034893854e-05,0.00034396557587020504,3.601110204631879e-05,0.005357202105419873,0.001235443827568009,1.3751602484475e-05,2.7503204968949824e-05,6.350418196519607e-14,1.6016488756522993e-05,0.006686798653929828,0.001366496250167201
3,3,1.5,7.164309357017425e-05,0.00026019703802043743,0.0009761640982512108,0.00017537485914097622,0.027975418576864728,0.006378567433087418,5.5150818307000596e-05,0.00020029955230547097,4.2798090238956704e-14,8.111278146341342e-05,0.03346540281398235,0.006876737299947753
3,3,2.0,0.0003346079785648874,858673232140.9386,0.007931247256251807,0.00043441264224761144,0.08506888840717972,0.021411512814175603,0.00010866712346982213,278862298913.16223,1.536657771480035e-14,0.00024998769396817277,0.09975488433160219,0.020812948443345768
3,3,2.5,0.0017430109148873249,0.006510780076953931,0.03156212167023499,0.0023334254693767255,0.19723174207282446,0.06523708943481372,0.0001459189522017645,0.0005450603887392501,5.3053348563807524e-14,0.0005928164334609414,0.22822220862375137,0.04910195865823968
4,3,1.0,1.205872980910048e-06,2.411745961820141e-06,2.911895119762147e-05,1.9169381330112816e-06,0.0006320717415459248,0.00014752215300320852,7.861434912619516e-07,1.5722869825239324e-06,1.0889559633611237e-13,1.0020463389056009e-06,0.0008502779238015789,0.00017133603765868996
4,3,1.5,4.186424404285084e-06,1.520446946798625e-05,0.0002506119168031446,9.220537080542486e-06,0.0034478973995315273,0.0007834990960987429,2.7500924213037025e-06,9.987925784842412e-06,7.207957882872038e-14,5.153472877987128e-06,0.004348947860348901,0.0008662831073622907
4,3,2.0,2.359013422581066e-05,60537160199.20715,0.00179197904496897,2.359013422581066e-05,0.01098291377953374,0.0027017407563465195,3.504781236970065e-06,8993993047.037916,1.606979290507975e-14,1.5978050611709493e-05,0.013373597307753287,0.0026408417280564226
4,3,2.5,0.00010703683836589931,0.000399821563029965,0.005704192815357778,0.00010703683836589931,0.02671532691926092,0.007759752612796227,5.860713701337824e-06,2.1891899539575238e-05,9.69309854803454e-14,3.840851816336722e-05,0.03188696462654286,0.006289266190049253
