L,order,contrast,L2-u1-T,L2-u1-T-rel,dy-L2-u1-T,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-dy-L2-u1-T,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t
1,2,2.5,0.20331323065234855,0.7105533139638054,1.5179230447932874,0.5668022782996789,21.35200262875805,7.900127901659601,0.06078671640628513,0.21244167262936062,8.343714887146752e-15,0.39365900712540486,24.23290492775055,6.6676253058601676
2,2,2.5,0.07273855361867099,0.27241169102756657,0.6971642660661963,0.17416418109528353,7.102461993656076,2.9803741232358965,0.04996416574696674,0.1871197900533881,1.1587814819847598e-14,0.05008111521230972,6.502731045608258,1.9365235590667849
3,2,2.5,0.03627122615084672,0.13548689430306243,0.2954777994470421,0.05898673058071989,2.474385647316897,1.0891994718102964,0.007941930836603361,0.029666147467584107,3.036729862723096e-14,0.008305955083992475,2.193898600818016,0.5120527126357685
1,3,2.5,0.09781901437800389,0.3707113302739564,0.7271513775093007,0.15630968064412426,10.225743424408769,3.081821050498138,0.1205679436851298,0.45692448524568746,1.598767285210343e-14,0.1608498868904923,11.719598638895523,2.581358018706385
2,3,2.5,0.016800623275140796,0.06274970159904762,0.13867039092276107,0.030343049090275447,1.4591208165653455,0.5231270683179515,0.006275776481266727,0.023439791194205438,2.4066874786304986e-14,0.013364351779997539,1.1823139117244033,0.35552964136518306
3,3,2.5,0.0017553423101183084,0.006556842325735737,0.03149301653787314,0.0023509088251049658,0.19763559779898293,0.06539266876908449,0.0001459189521973659,0.0005450603887228203,4.7823633435906204e-14,0.0005928164334957752,0.22822220863011622,0.04910195865821986
4,2,1.5,0.0008767734424512231,0.0031843104505117404,0.01454920047067541,0.0012806252646034458,0.09412602043941384,0.030318778173869007,0.00020205917532788525,0.0007338488057069132,4.305640982274801e-14,0.00029290566523370204,0.11060261046019369,0.02811442974793998
4,2,2.0,0.0019436426516781502,4987788770015.352,0.032932831144015635,0.004904610233766345,0.256001967422428,0.0871448606275829,0.0004975240075315514,1276749435106.4624,8.85160079905874e-15,0.0006030734431398321,0.29414109191215504,0.06656252612351944
4,2,2.5,0.008387640955178877,0.031330894735383204,0.08883882051466006,0.012821509701201633,0.5290868864078282,0.24486756970911233,0.0010202524840334795,0.003811014724113745,6.646272324866096e-14,0.0012850664435631182,0.5721608371763834,0.12982348541633162
4,3,1.5,4.163861110164241e-06,1.5122522946700361e-05,0.00025012427348259904,9.16855671214934e-06,0.003399338348567173,0.0007867025796130604,2.7500924146255694e-06,9.987925760588432e-06,7.072771419931299e-14,5.153472918123894e-06,0.004348947873360857,0.0008662831072062744
4,3,2.0,2.3536155156926633e-05,60398638751.67511,0.0018012114895857834,2.3536155156926633e-05,0.01074806453492172,0.002700810526185849,3.504781232696948e-06,8993993036.072226,1.590981910542396e-14,1.597805065077217e-05,0.013373597320548615,0.0026408417279115176
4,3,2.5,0.00010724497128848706,0.00040059901527629007,0.005783646716834426,0.00010724497128848706,0.026770770307057195,0.007764793675229931,5.860713702515843e-06,2.18918995439756e-05,8.52560201796108e-14,3.8408518201569114e-05,0.03188696463918427,0.006289266189916781
