L,order,contrast,L2-u1-T,L2-u1-T-rel,dy-L2-u1-T,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-dy-L2-u1-T,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t
1,2,1.0,0.0235762958878191,0.047152591775638186,0.13188820236449306,0.04354257224198821,1.7347028066915298,0.5115569775576925,0.010838921348254597,0.02167784269650919,7.664177384608634e-15,0.031690431544602056,1.8943905750387546,0.48204570822836057
2,2,1.0,0.004338319297605256,0.0086766385952105,0.028046342503769337,0.008431617023077298,0.4516720471138182,0.13575401930350664,0.0030570186466289447,0.006114037293257882,1.2927632581750156e-14,0.005107118228008008,0.48446288625008743,0.12751704711890025
3,2,1.0,0.0006792862184953594,0.0013585724369907174,0.009682848519763941,0.0016189220143375985,0.1129012560069002,0.034364294454570954,0.0005069891995055939,0.001013978399011187,3.146083779519752e-14,0.0006899625383270412,0.12407271889316106,0.032138744101494594
1,2,1.5,0.08334094039905539,0.3047013900473295,0.5334965844916603,0.13476889149609536,5.361935092550774,1.7245800715687976,0.011600771202372592,0.04241338163522838,6.270734909215016e-15,0.0941173078209424,5.3129448967378385,1.527916613849294
2,2,1.5,0.023853044823836593,0.08662836210989394,0.17550251261205788,0.0348189962860428,1.2456116469396346,0.5231707571465565,0.008452023034039453,0.030695658242433446,1.0500622832677311e-14,0.015950427303660333,1.398833099209046,0.43744688227880385
3,2,1.5,0.005734186881240039,0.02082570610027223,0.05112515400869904,0.009062203461470861,0.42939322407496466,0.14048828984035502,0.001457310228479057,0.0052927320200387715,1.963311902653261e-14,0.0022477148955557004,0.4659755423986038,0.11184875682296358
1,2,2.0,0.07754164158606355,198987879164714.88,0.7130952256273106,0.2662679715761122,11.856923316504885,4.0065080066254435,0.01498329522580098,38450232402827.984,5.5390812384809164e-15,0.22637822332790722,13.002747312707996,3.572034125214972
2,2,2.0,0.027483773097882847,70529042309762.97,0.3439973426056136,0.06035536323548719,3.3013050291424757,1.1847002584773418,0.02255379945911176,57877710990858.76,7.50490145592459e-15,0.03170923078410765,3.789096386605811,1.0172666783193063
3,2,2.0,0.008084221579721199,20745783477654.24,0.10625715409572181,0.020652283797063423,0.9887011428942963,0.3568960841038124,0.003732138437028743,9577438614182.494,7.994258733186693e-15,0.005064070681846784,1.0721496226023113,0.2639778603295446
1,2,2.5,0.20331323065234855,0.7105533139638054,1.5179230447932874,0.5668022782996789,21.35200262875805,7.900127901659601,0.06078671640628513,0.21244167262936062,8.343714887146752e-15,0.39365900712540486,24.23290492775055,6.6676253058601676
2,2,2.5,0.07273855361867167,0.2724116910275691,0.697164266066199,0.17416418109528373,7.102461993656083,2.9803741232358987,0.04996416574696674,0.1871197900533881,1.1587814819847598e-14,0.05008111521230972,6.502731045608258,1.9365235590667849
3,2,2.5,0.036271226150817355,0.13548689430295274,0.29547779944672026,0.05898673058070059,2.474385647315638,1.0891994718101052,0.007941930836603361,0.029666147467584107,3.036729862723096e-14,0.008305955083992475,2.193898600818016,0.5120527126357685
1,3,1.0,0.00826944198598436,0.016538883971968725,0.0556861020633142,0.009611013417300265,0.3787801296849024,0.10019183738002754,0.004306103674006401,0.008612207348012805,1.7617709910136898e-14,0.005070167541252001,0.3911427071158146,0.08308538596410005
2,3,1.0,0.0005252936990048528,0.0010505873980097055,0.004956726195788299,0.0006867076328927111,0.046039842843237276,0.011492395930539268,0.0002512166001772257,0.0005024332003544513,3.0276176649806026e-14,0.00025392298245608324,0.049877442070071915,0.010784961838252423
3,3,1.0,2.3859040732058087e-05,4.771808146411593e-05,0.0003718818277039663,3.601229811873221e-05,0.005376894489909174,0.0012391592874484594,1.3751602475213462e-05,2.7503204950426785e-05,6.069925106888034e-14,1.601648879582169e-05,0.0066867986603800006,0.0013664962501160468
1,3,1.5,0.0178566592831126,0.06482651316544608,0.13686327896819114,0.02862356023762584,1.6839138210896833,0.42803727116753953,0.01935832894816629,0.07027814926200407,1.2111495430052733e-14,0.031240166294608077,1.8319311500978395,0.4017224598530951
2,3,1.5,0.001299299284692167,0.00471886318739603,0.01113180431066477,0.0023660598438247217,0.21209656867305263,0.054979857485133135,0.0011549522615894457,0.004194616109332706,1.9624054852165514e-14,0.0013245083116881738,0.22724784058104064,0.05339521249973314
3,3,1.5,7.065620244418038e-05,0.0002566127965390068,0.0010121968866105722,0.00017490284771140178,0.02764019434898684,0.006385606898823683,5.5150818298229035e-05,0.0002002995522736143,4.078494387844057e-14,8.111278150271271e-05,0.03346540282054913,0.006876737299903748
1,3,2.0,0.05141365556389141,131938066714886.67,0.402843771481439,0.07078545463962142,4.890776571321721,1.3306699785353482,0.05532064571862355,141964210976285.7,8.329197417722504e-15,0.08494745648488063,5.3016737663485936,1.1652874356206866
2,3,2.0,0.004126146345608373,10588544343938.854,0.03805492839458121,0.006802623101075674,0.6221895113844618,0.17667650211296132,0.003056717952960241,7844170051380.311,1.3590277784984469e-14,0.005090030243622724,0.5914493556019473,0.15906470859033991
3,3,2.0,0.0003343496264876948,858010247312.8286,0.007842749017679746,0.0004335122234173858,0.08385331271442563,0.02140271029604369,0.0001086671234620399,278862298893.19165,1.440895007432176e-14,0.00024998769400518125,0.09975488433805257,0.02081294844331323
