L,order,contrast,condest,L2-u1-T,L2-u1-T-rel,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,L2-u1-0,H1-u1-0,L2-error-u_t-at-0,H1-dt-at-t-0,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t,bestapprox-L2-u1-0,bestapprox-H1-u1-0,bestapprox-L2-error-u_t-at-0,bestapprox-H1-dt-at-t-0
1,2,1.0,24170.120763656763,0.0007149076687651139,35159992.93546129,0.0033109103117926935,0.09654252330244927,0.04803726378522465,0.001828958250021213,0.041487710250007,0.08080778140634415,0.12229549165635115,1.0607842626135744e-05,521706.0721137115,0.0007225475077419965,0.07494735963522771,0.027436395474631645,0.00045128388040683454,0.037975055924712134,0.04363631623242395,0.08161137215713608
2,2,1.0,1999575.9744805114,3.454519003435858e-05,733356.6623489411,0.0008689407991626395,0.04236609377097498,0.024321652234550347,0.00042974778063867183,0.019407692629557324,0.04236609377097498,0.0617737864005323,3.784752298970217e-08,803.4615849644191,0.00013595639030672123,0.02515626314671484,0.009584880254482125,0.00013595639030672123,0.01657545305320573,0.02515626314671484,0.04173171619992057
3,2,1.0,43478054.42986126,5.099880934276722e-06,84704.50162352019,0.0003545082034391107,0.0186689549829364,0.010699900493488691,0.00010446851602654581,0.005199379571346236,0.008169876344990166,0.013369255916336403,5.266851029240587e-10,8.747772689332777,2.2082107254939447e-05,0.007247224432039211,0.0027057013017995546,2.0382551507420088e-05,0.003194233434493677,0.007247224432039211,0.010441457866532888
4,2,1.0,487512491.2954247,1.6529241633273765e-06,26521.658605183868,6.574908265401397e-05,0.004641346599380447,0.0024613413377532795,3.008160935805567e-05,0.0018433019868586136,0.002545316243972257,0.00438861823083087,2.1871023298165734e-11,0.3509270577134692,3.4261362784911387e-06,0.0018732280339516974,0.0007017848133796012,2.7438673111176946e-06,0.0007533820264853993,0.0018732280339516974,0.002626610060437097
1,2,1.5,14256.65788322378,0.0012271050583724408,2.3134793324666614,0.0034266695479943476,0.1138929873049835,0.060308384582696634,0.0034266695479943476,0.05494425377717562,0.1138929873049835,0.1688372410821591,0.00027275107104182266,0.514221632009511,0.0016858485688269285,0.11207740961072334,0.04558830880083048,0.0014448915828626156,0.0643815572253482,0.11207740961072334,0.17645896683607154
2,2,1.5,1130110.0713001126,0.00032279109069960164,0.6471578965841888,0.001496529708855458,0.11691917260168677,0.04443435468556413,0.0007108842514200162,0.028717994276611026,0.11691917260168677,0.1456371668782978,8.126107200966123e-05,0.16291882257955256,0.0003783868649676875,0.07004908440846071,0.027014229637915756,0.0003783868649676875,0.02418763615013006,0.07004908440846071,0.09423672055859077
3,2,1.5,26109153.187645435,0.0001708630272212249,0.34127113967873857,0.0007208348487164532,0.04291067046882201,0.024088520314791056,0.0001734064535873368,0.00770899039991532,0.025789851136627403,0.03349884153654272,1.2675020297705514e-05,0.02531629395075923,6.116352461808171e-05,0.030356213182171837,0.011936765038770865,6.116352461808171e-05,0.004527385056816759,0.023118321757857187,0.027645706814673945
4,2,1.5,282284809.62159145,6.421213871291625e-05,0.12825436893483463,0.00023450332018549316,0.019431602071963226,0.011380829945327806,7.071984086248814e-05,0.004018196186524872,0.007964186500023802,0.011982382686548674,1.7825823274338183e-06,0.003560447853972905,1.0816562438191763e-05,0.01684908518839377,0.008990953178919977,8.225089421998884e-06,0.0008615374346524226,0.006230195264970856,0.0070917326996232785
1,2,2.0,6827.151656261897,0.0014845229833949046,1.9739459296089317,0.004751266448790954,0.16777931794522577,0.07294724455451976,0.004751266448790954,0.07215694681725437,0.16777931794522577,0.23993626476248014,0.000594932154849292,0.7910715553710176,0.0024645056124248535,0.16220700420200138,0.06284078469688822,0.0020706923712986163,0.07908555420841412,0.16220700420200138,0.2412925584104155
2,2,2.0,725660.3578750177,0.0005798843692447719,0.6858652154789843,0.0027133170181567086,0.19720843766302892,0.07127973988731233,0.0007031807673202441,0.03142636832341458,0.19720843766302892,0.2286348059864435,0.00026587703987928296,0.31446926821844656,0.0007099857823787614,0.14819305646108136,0.05134659537983811,0.0007099857823787614,0.033870306055600555,0.1298688525566375,0.16373915861223803
3,2,2.0,7020032.9084557835,5.710342174678998e-05,0.06845147681151799,0.0010332721037290549,0.10763593110257569,0.040416406680519615,0.00030316548420329594,0.012961015267264512,0.06071932437061279,0.0736803396378773,4.56596399074424e-05,0.05473349383869891,0.00013442024589864306,0.06119721934914373,0.02474524628023183,0.00013442024589864306,0.007714756816419899,0.05080626559597593,0.05852102241239583
4,2,2.0,72039651.60909873,1.0089868941965926e-05,0.012091823118459835,0.00045262171899463976,0.039877513084986084,0.022598642609924374,0.00012153600906591189,0.006727105406125662,0.016587986272558156,0.023315091678683817,6.743457563189365e-06,0.008081442537056232,2.1688372028401e-05,0.033481740371017685,0.01803994189322066,1.8964699251357575e-05,0.0012490473951222083,0.014478384623869784,0.01572743201899199
